epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.407,2.40922,4.10368,2.40463,0.00337,0.58333,0.01629,0.00668,2.12491,4.83143,2.83429,0.00014443,0.00014443,0.00014443
2,260.817,2.1473,3.93885,2.21893,0.00325,0.5119,0.04459,0.01806,2.28319,4.72426,2.74052,0.000285121,0.000285121,0.000285121
3,452.674,2.04447,3.79244,2.11162,0.00311,0.6119,0.04034,0.01294,2.3496,4.76376,2.6785,0.000410415,0.000410415,0.000410415
4,603.802,2.11115,3.82945,2.12658,0.00315,0.60714,0.08457,0.01631,2.37855,4.6072,2.77841,0.000520309,0.000520309,0.000520309
5,735.737,2.07156,3.67982,2.09074,0.00321,0.62857,0.0782,0.02027,2.47573,4.54616,2.89447,0.000614805,0.000614805,0.000614805
6,848.569,1.99495,3.55544,2.04183,0.00345,0.64048,0.03435,0.00815,2.60977,4.57139,2.93585,0.000693903,0.000693903,0.000693903
7,987.615,2.03106,3.45278,2.05866,0.42943,0.03333,0.04747,0.01186,2.62987,4.43862,2.94017,0.000757602,0.000757602,0.000757602
8,1137.39,2.0614,3.45622,2.1296,0.03693,0.11667,0.03294,0.01193,2.80708,4.41678,3.13649,0.000726038,0.000726038,0.000726038
9,1291.67,1.98451,3.41574,2.01371,0.02744,0.13333,0.0382,0.00813,2.77701,4.55571,3.42349,0.000671044,0.000671044,0.000671044
10,1403.31,1.98555,3.30643,2.01934,0.2933,0.08333,0.04394,0.00861,2.83692,4.81235,3.40101,0.000616049,0.000616049,0.000616049
11,1487.79,2.07729,3.81517,2.18154,0.26928,0.08333,0.04264,0.01202,2.69206,4.9901,3.15011,0.000561055,0.000561055,0.000561055
12,1613.3,2.03514,3.70516,2.14019,0.25959,0.11667,0.08652,0.03024,2.31557,5.01701,2.78954,0.00050606,0.00050606,0.00050606
13,1760.01,1.98044,3.59071,2.13387,0.19882,0.15714,0.14864,0.0472,2.43369,4.80854,3.06576,0.000451066,0.000451066,0.000451066
14,1883.87,1.95261,3.54987,2.16113,0.44518,0.12857,0.18359,0.04788,2.40674,4.67854,3.01,0.000396071,0.000396071,0.000396071
15,2035.61,1.84569,3.49967,2.09026,0.16676,0.19048,0.13705,0.02982,2.40753,4.75676,2.94139,0.000341077,0.000341077,0.000341077
16,2172.73,1.85519,3.38111,2.06718,0.12018,0.1619,0.09731,0.02844,2.48425,4.91224,3.01535,0.000286083,0.000286083,0.000286083
17,2584.86,1.82784,3.44149,2.06605,0.04335,0.09524,0.06605,0.01153,2.45837,5.16126,3.01174,0.000231088,0.000231088,0.000231088
18,2723.54,1.82789,3.3663,2.02945,0.03797,0.17381,0.03309,0.00901,2.37719,5.12546,2.85076,0.000176094,0.000176094,0.000176094
19,2870.32,1.73973,3.28528,1.98477,0.04196,0.20714,0.03239,0.00904,2.37354,5.03451,2.87325,0.000121099,0.000121099,0.000121099
20,3623.2,1.77086,3.25231,1.96439,0.04296,0.17381,0.03218,0.00963,2.42227,4.9067,2.86335,6.61045e-05,6.61045e-05,6.61045e-05
